scid,name,X,Y,height_interpolated
6,Beneden Leeuwen,165462.0723573878,433727.17382991465,552.0576560977657
47,Vogelzang,123964.6470041686,441832.6918717439,75.58140522704068
8,Bossenwaard,133368.71471442952,445628.99549271265,103.76683660519593
43,Stadswaard,189062.32472445443,429454.60970646184,971.2351609189951
13,Everdingerwaard,139427.02636252024,442208.0918072766,292.0445554122401
14,Ewijkse Waard,179572.44561764516,432573.3967515445,783.5820031388116
4,Baarsemwaard,142223.4275624835,441052.7453393924,301.19546678930556
24,Klompenwaard,198366.31147798357,433128.9608478387,1155.2124776576238
25,Kwelgeul,159523.34816566118,444348.78576685366,590.5615372572356
12,Elster Buitenwaarden,163110.57962448715,443444.0868375566,603.6962474673325
32,Meinerswijk (Plas van Bruil),188797.69266379104,443394.92022177036,841.749122377323
48,Waalse Waard,136259.7766738785,446077.4133233376,112.43179213067928
45,Varikse plaat,154814.3710831809,427060.42908791185,421.98618928255445
49,Willige Langerak,119681.65488908488,439194.84299300925,62.744621818818814
44,Steenwaard,143482.12270761197,442012.39484253724,305.693130405057
46,Vianen,135488.22775334233,446013.25177216716,110.11934183526782
3,Avelingerdiep,123399.57446810385,427196.5630763931,97.02052884630471
15,Gamerense Waard,142433.8221608361,424249.2927869794,270.74639424737546
2,Avelingen,124364.35437015811,426982.94626677386,99.41554496521252
41,Schoutenwaard,175446.66111490648,440905.8582802233,676.5392897409571
26,Langsdam Ophemert,156289.4064933023,428526.3420601042,440.00510383114636
22,Hurwenen,148727.6100048606,425497.12137957517,347.6308029675089
42,Spiegelwaal,186944.2863195297,430370.79278405226,929.3530051496301
27,Langsdam Wamel-Dreumel,159061.85917735737,432007.5299811295,473.8731639883538
16,Goilberdingen,141921.45895327794,441201.57147776586,300.20730815830075
21,Hondswaard,130843.90061254945,426004.4543172008,129.16483995352107
35,Opijnen,149861.22400194386,426316.7732042213,361.4789408524496
1,Afferden en Deest,172170.24473680454,433877.47824916145,637.2106580269104
17,Graafsche waard,128632.47655063977,443450.80976144463,89.57160536388533
7,Blauwe Kamer,169777.18846315588,440008.9204683201,637.8901388887266
28,Lexmond,129953.35613540518,442160.7642836808,93.53048380269006
34,Noordoever Lek,135242.93607075515,446205.7025615374,109.38416509045881
36,Palmerswaard,166234.6486470292,441432.82679073344,615.135080383026
40,Salmsteke,125752.36986048313,441636.5697053682,80.9394844585241
10,Brakel West,131437.93455991126,425056.78762380127,136.42151112427902
38,Passewaaij,157268.2777743723,431404.26830327284,451.96291707863975
37,Pannerden,198226.03322713065,435067.28908423247,1138.409220245818
5,Bakenhof,192172.14286231887,442228.1888535221,880.8219021735932
30,Lunenburgerwaard,153678.47751467075,442629.9458446868,360.26787306807114
18,Groesplaat,126906.99761933641,425475.48548686825,105.72752508984786
19,Heeselt Oost,152353.5903078589,424492.6311799312,391.9254882247437
9,Brakel Oost,132986.40817620946,425705.47966364934,155.33754092354323
11,Dordtsche Avelingen,121776.41242349405,426698.4327384043,92.99111317112087
20,Heeselt West,150978.33708188523,425650.49419082055,375.1255048538664
23,Kleine Willemspolder,159208.01294056914,433352.53494476166,475.6585666656029
33,Millingerwaard,197229.7451404387,430892.30078284506,1132.7379803677775
29,Loenense Buitenpolder,181023.8745980234,432952.0085937204,812.2826038942223
31,Meinerswijk (Groene rivier),190763.524269034,442865.1615859635,859.5226913609695
39,Pontwaard,134587.5546542368,445637.63795938424,107.41988659832917
